Name,PM2.5,Pollution Category
Ghaziabad,33.1,2 - Good
Ghaziabad,41.0,2 - Good
Ghaziabad,46.3,2 - Good
Ghaziabad,49.7,2 - Good
Ghaziabad,51.5,2 - Good
Ghaziabad,51.5,2 - Good
Ghaziabad,50.4,2 - Good
Ghaziabad,49.6,2 - Good
Ghaziabad,48.1,2 - Good
Ghaziabad,46.2,2 - Good
Ghaziabad,45.3,2 - Good
Ghaziabad,37.3,2 - Good
Ghaziabad,39.2,2 - Good
Ghaziabad,42.4,2 - Good
Ghaziabad,43.9,2 - Good
Ghaziabad,41.3,2 - Good
Ghaziabad,27.9,1 - Very Good
Ghaziabad,24.9,1 - Very Good
Ghaziabad,23.3,1 - Very Good
Ghaziabad,21.6,1 - Very Good
Ghaziabad,20.3,1 - Very Good
Ghaziabad,19.4,1 - Very Good
Ghaziabad,19.1,1 - Very Good
Ghaziabad,15.5,1 - Very Good
Ghaziabad,23.3,1 - Very Good
Ghaziabad,31.9,2 - Good
Ghaziabad,35.9,2 - Good
Ghaziabad,37.5,2 - Good
Ghaziabad,38.3,2 - Good
Ghaziabad,39.2,2 - Good
Ghaziabad,40.6,2 - Good
Ghaziabad,44.1,2 - Good
Ghaziabad,49.4,2 - Good
Ghaziabad,55.5,2 - Good
Ghaziabad,61.5,3 - Satisfactory
Ghaziabad,40.5,2 - Good
Ghaziabad,44.2,2 - Good
Ghaziabad,48.4,2 - Good
Ghaziabad,51.1,2 - Good
Ghaziabad,42.1,2 - Good
Ghaziabad,21.7,1 - Very Good
Ghaziabad,19.4,1 - Very Good
Ghaziabad,19.3,1 - Very Good
Ghaziabad,19.2,1 - Very Good
Ghaziabad,19.0,1 - Very Good
Ghaziabad,18.9,1 - Very Good
Ghaziabad,19.1,1 - Very Good
Ghaziabad,20.8,1 - Very Good
Ghaziabad,33.9,2 - Good
Ghaziabad,50.2,2 - Good
Ghaziabad,56.6,2 - Good
Ghaziabad,53.4,2 - Good
Ghaziabad,49.1,2 - Good
Ghaziabad,45.9,2 - Good
Ghaziabad,43.9,2 - Good
Ghaziabad,44.8,2 - Good
Ghaziabad,49.9,2 - Good
Ghaziabad,57.3,2 - Good
Ghaziabad,66.6,3 - Satisfactory
Ghaziabad,48.5,2 - Good
Ghaziabad,64.3,3 - Satisfactory
Ghaziabad,87.3,3 - Satisfactory
Ghaziabad,79.6,3 - Satisfactory
Ghaziabad,68.2,3 - Satisfactory
Ghaziabad,54.9,2 - Good
Ghaziabad,39.8,2 - Good
Ghaziabad,27.8,1 - Very Good
Ghaziabad,24.6,1 - Very Good
Ghaziabad,22.7,1 - Very Good
Ghaziabad,22.1,1 - Very Good
Ghaziabad,22.3,1 - Very Good
Ghaziabad,23.0,1 - Very Good
Ghaziabad,42.0,2 - Good
Ghaziabad,64.0,3 - Satisfactory
Ghaziabad,81.0,3 - Satisfactory
Ghaziabad,88.5,3 - Satisfactory
